new_id,average_speed,Total_climb_up,Total_climb_down,Total_planar_distance,Total_time,Total_distance
07-31/02-1_pt,0.587000704,1059.33,-1047.8,12975.77146,22810,13374.08186
07-31/03-1_pt,0.813219828,697.47,-680.64,7780.278455,9910,8056.900198
07-31/06-1_pt,0.784325611,445.62,-450.91,5254.870909,6910,5416.952194
07-31/07-1_pt,0.763597492,502.31,-413.39,4151.602668,5730,4383.761234
07-31/08-1_pt,0.87767082,474.88,-447.01,6094.750247,7070,6221.389793
07-31/08-2_pt,0.307854848,712.23,-661.28,5064.454156,17791,5473.632868
07-31/09-1_pt,0.8658303,1105.1,-1053.19,12523.57399,14890,12910.77423
07-31/10-2_pt,0.824398925,298.44,-274.88,4166.76306,5171,4261.99731
07-31/11-1_pt,0.792242165,723.9,-780.14,8188.272212,10720,8489.355263
07-31/13-1_pt,0.764995298,667.61,-800.27,8598.491833,11610,8878.036376
07-31/15-1_pt,1.08702495,609.94,-567.15,8773.292017,8290,8954.562647
07-31/16-1_pt,0.767238573,441.33,-399.98,4350.46608,5981,4501.82068
08-01/08-1_pt,1.051545337,1111.32,-916.17,11841.63222,11620,12241.30187
08-01/09-1_pt,0.556480606,444.11,-410.95,4051.347862,7629,4238.641252
08-01/09-2_pt,0.609264375,320.63,-307.65,4268.855734,7180,4371.566239
08-01/10-1_pt,0.656348562,291.76,-237.92,4268.235963,6640,4353.309784
08-01/12-1_pt,0.940759578,201.86,-198.5,4471.02462,4810,4523.59108
08-01/12-2_pt,0.584642878,435.97,-407.6,6007.387373,10509,6142.112827
08-01/13-1_pt,0.521939005,510.01,-530.68,5407.651602,10750,5613.981085
08-01/14-1_pt,0.979786205,527.76,-501.33,7545.572432,7840,7678.455061
08-01/16-1_pt,0.838137717,277.84,-212.48,4186.362794,5130,4297.800786
08-03/05-1pt,0.91690396,245.65,-388.4,4011.66375,4500,4116.884886
08-03/06-1pt,0.569429933,870.94,-851.25,9264.232249,16772,9608.884938
08-03/14-1pt,0.917572345,342.25,-227.84,3506.110191,3930,3605.112909
08-03/15-1pt,0.446187939,562.93,-508.61,5660.253962,13124,5896.292191
08-03/16-1pt,0.597003862,659.04,-611.93,5955.804636,10421,6215.203822
